id,value,type,img
reply_7b7e1cb3-3e2d-4b7f-bbbf-4d547b8631c1,"Bold of you to assume I’m emotionally available for this.",reply,
reply_64d189e7-34ec-4deb-924e-0f7fdd5adce7,"Sorry I can’t talk, I’m currently beefing with my own reflection.",reply,
reply_3a582487-8706-4e33-bc50-82ff0bd72633,"That sounds like a ‘future me’ problem. I hate future me.",reply,
reply_87aa8931-7e13-4ce3-bc99-15bfb08bbf69,"I’m not saying I caused that, but I’m also not *not* saying it.",reply,
reply_b3cc4c42-d6ee-4fb9-bc6d-7f91277e45c4,"Honestly? Vibes. Just pure vibes.",reply,

reply_41ac7041-9c71-4e56-9b55-be02654d0c1a,"Can we blame the government or is this on you?",reply,
reply_80b3ec7d-8608-4d2d-922b-fb31c735ccde,"My advice is legally questionable but emotionally correct.",reply,
reply_bdc2326e-b7ef-4702-a59f-d8b4a6b06415,"I’m gonna pretend you didn’t just say that to me.",reply,
reply_6d977dd3-9f52-4a67-af74-474be2f0a300,"This feels like a red flag wrapped in festive paper.",reply,
reply_cce93471-59a9-44a3-8d2c-54b6bcad6528,"Oh, so we're doing *this* today. Alright.",reply,

reply_620f6e4b-8a17-4f71-bfc9-1585813f9b8e,"Therapy is expensive so my official response is: lol.",reply,
reply_34c8ab6b-4b68-479a-a066-5384d6dfd371,"This definitely counts as cardio because my heart rate is up.",reply,
reply_03fd33d1-3b84-4638-8ab0-09fe952075cb,"Delete this before it becomes evidence.",reply,
reply_f7be0993-f1bb-4feb-9987-a73f801c6c41,"That's either a blessing or a threat, no in-between.",reply,
reply_af1ff8ec-92de-4a3c-9074-fd8860408249,"Sorry, wrong number. Unless this is about money.",reply,

reply_f93d2b13-c1c7-4ee0-b2a3-c8fdc08755d2,"I’ve seen enough Netflix documentaries to walk away from this.",reply,
reply_508126de-1ef0-4c96-a214-e61b5d56a46a,"Let’s unpack that. Preferably at someone else’s house.",reply,
reply_8de2ac7a-0f7c-4ad7-9320-a8e8683a6384,"I’d respond but my lawyer said absolutely not.",reply,
reply_7f47762a-99ff-46fc-a179-ffe8e5b3ef0e,"That's a level of chaos I deeply respect.",reply,
reply_9435d078-ee18-4a75-b61b-6a34901cbe4d,"Ok but why would you say that to ME specifically?",reply,

reply_8810f9c5-0b2b-4a88-b433-cb66cbd38e5a,"I'm not judging you, but God might be.",reply,
reply_38964bb2-9173-4e74-8ef6-8d594bf8e8a5,"Sorry I missed your message, I was trying to fix my life. Still broken.",reply,
reply_9a1d7616-80be-41ba-903a-1ec5191fb7b7,"Tell me why I read that in a menacing British accent.",reply,
reply_0fdc2ff7-91a7-4f50-b2f2-ac9ed561d462,"You’re asking the right person at the wrong time.",reply,
reply_3dc40ed3-d710-41e6-ac05-5aa66ffcd46e,"This whole conversation feels like a tax scam.",reply,

reply_b23315f5-8508-4ea4-9c41-96bc20a2f277,"If this is a threat, it's working.",reply,
reply_ce66f5e4-8168-4867-af26-baff016fb691,"You realise my milk expires before I solve this, right?",reply,
reply_9f7d5b7e-a4dd-4dcd-ac77-e88b7fdb0d61,"That's funny because I also have zero self-control.",reply,
reply_f0248398-a926-4bc4-9add-9d2122e0a8cf,"My official stance is: yikes.",reply,
reply_87e5cf87-af4f-4f34-a170-8c4c0378393d,"The police would *love* this message.",reply,

reply_c3b00d6b-9e7e-4c22-8331-ff20a19b3b43,"Just tell everyone I died. It's easier.",reply,
reply_ef4f3c8b-4579-4e0c-b662-77fed174b4e3,"Plot twist: I actually support this energy.",reply,
reply_96cc39d3-ef06-48ca-a8b6-8cf065a02bf6,"I would reply normally but I’m in my villain era.",reply,
reply_e9ac3288-7fbc-4fae-8491-f9630159c6cd,"Sorry, I only respond to bad decisions.",reply,
reply_32dc9d69-b6ca-40f4-8ccf-8069754d1c16,"This message made me sit up straight like a meerkat.",reply,

reply_7139f715-d044-4b84-893f-2a9471597245,"Not to be dramatic but this ruined my week in advance.",reply,
reply_7ffaa299-5e27-4572-88b4-d792417872bc,"I've committed to being wrong today, so yes.",reply,
reply_cacc2df2-4ee9-4a09-a063-e8f6ed070111,"This sounds like a TikTok trend waiting to go wrong.",reply,
reply_36b620ec-cb62-4938-83d0-8022afc3a3ba,"I’m choosing chaos. What now?",reply,
reply_16df2d8c-4e15-46a8-bc67-fe644dcb72da,"You had me until the part where it got weird. Actually no, you had me before.",reply,

reply_2fd8fdb0-023a-4f19-8aa0-00c7ac798fc1,"This is giving ‘I should’ve stayed in bed’ energy.",reply,
reply_87fe983b-9930-42eb-a3fb-33d38559657b,"I’ve consulted the group chat. We vote no.",reply,
reply_026a8054-68f2-4f14-b55c-8496d4c8585c,"Can we blame Mercury retrograde or should we blame you personally?",reply,
reply_a7ef6a6a-02fa-40da-8fc6-3daffcc1cb68,"I feel like this text needs holy water.",reply,
reply_3e2e99f8-2f13-4bf7-a6d3-951bc9702d9f,"I'm reporting this to Santa AND HR.",reply,

reply_64259859-32b1-4150-8dbf-09d55f95ccc5,"This whole situation feels like foreplay for an argument.",reply,
reply_4b0cbc0f-d31e-41ae-8c6b-f3bbfe47d30d,"That sounds illegal, immoral, or incredibly fun. Possibly all three.",reply,
reply_5a88fa2e-45af-42c1-82ae-f420cfd41c74,"Which one of us should apologise first? (Not me.)",reply,
reply_7e87adca-3c63-4aa7-9502-dc41786acfa9,"I'm flattered but also terrified.",reply,
reply_3e6dc636-c8a7-4f10-91db-1ddacaf54a8f,"Can I ignore this or will it haunt me?",reply,

### IMAGE-ONLY REPLIES BELOW
reply_1df7b0f2-47e6-4c2b-9fc1-3b79a28d863f,"",reply,"suspicious_footprint.png"
reply_ae3adb54-92e5-4aa7-b98c-f84c5aac6e29,"",reply,"unreadable_note.jpg"
reply_cfa23f95-2908-4c47-879a-cad8dc717408,"",reply,"chaotic_sketch.png"
reply_633c26ae-1ec8-4232-87ac-40f2c49dcec1,"",reply,"dramatic_closeup.png"
reply_fdc793e3-61a4-46ce-a3df-3c47c1acecf0,"",reply,"angry_cat.jpg"

reply_81f0a231-7f6a-4e7c-8a28-50701c57821e,"",reply,"burnt_toast.png"
reply_5b1407f0-f2f8-47e6-bfd8-f3d63bc85b49,"",reply,"sad_balloon.gif"
reply_9492b30f-96b4-4d03-93db-6d1e0f657d0d,"",reply,"cryptic_smile.png"
reply_1a97c038-8a34-4437-95aa-d47c70b4b91b,"",reply,"ominous_fog.jpg"
reply_98ae211a-4d7f-4740-8571-8a8e1a2a7871,"",reply,"awkward_cake.png"

reply_8c18364c-993e-467d-8978-3fa199dff5e8,"",reply,"half_eaten_cookie.jpg"
reply_55f899e5-8665-4b49-a61c-c0acb8677e8f,"",reply,"broken_ornament.png"
reply_d6cd1194-3dd4-4bbc-bf0a-6f96842810c1,"",reply,"feral_energy.jpg"
reply_da0d9ae6-2ddf-40b5-aac5-3e9c8a6f7e3e,"",reply,"confused_pigeon.png"
reply_9d3553da-391b-4c53-af1d-4bb0864ccf9b,"",reply,"spilled_glitter.png"